Index,Name,CAS Number,Solubility in water /g/kg,-0.025,-0.024,-0.023,-0.022,-0.021,-0.020,-0.019,-0.018,-0.017,-0.016,-0.015,-0.014,-0.013,-0.012,-0.011,-0.010,-0.009,-0.008,-0.007,-0.006,-0.005,-0.004,-0.003,-0.002,-0.001,0.000,0.001,0.002,0.003,0.004,0.005,0.006,0.007,0.008,0.009,0.010,0.011,0.012,0.013,0.014,0.015,0.016,0.017,0.018,0.019,0.020,0.021,0.022,0.023,0.024,0.025,Notes
1,METHANE,74-82-8,0.0227,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.708205,5.456915,8.984792,5.889703,6.030131,7.290417,15.823607,3.82367,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"Sigma profile taken from the VT-2005 Sigma Profile Database; Molar mass calculated from the VT-2005 Sigma Profile Database. Property taken from the CRC Handbook of Chemistry and Physics, 102nd Edition, Table:""PHYSICAL CONSTANTS OF ORGANIC COMPOUNDS"""
2,ETHANE,74-84-0,0.0568,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1988,7.401171,9.896691,15.425347,10.103005,14.971026,17.035798,2.527472,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"Sigma profile taken from the VT-2005 Sigma Profile Database; Molar mass calculated from the VT-2005 Sigma Profile Database. Property taken from the CRC Handbook of Chemistry and Physics, 102nd Edition, Table:""PHYSICAL CONSTANTS OF ORGANIC COMPOUNDS"""
3,PROPANE,74-98-6,0.0669,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.553394,9.494942,14.112157,19.264154,13.060331,15.98827,16.810671,7.990058,0.351873,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"Sigma profile taken from the VT-2005 Sigma Profile Database; Molar mass calculated from the VT-2005 Sigma Profile Database. Property taken from the CRC Handbook of Chemistry and Physics, 102nd Edition, Table:""PHYSICAL CONSTANTS OF ORGANIC COMPOUNDS"""
4,ISOBUTANE,75-28-5,0.0535,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.634895,11.466097,18.13855,24.11081,14.930241,14.543013,17.152283,13.820337,0.898955,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"Sigma profile taken from the VT-2005 Sigma Profile Database; Molar mass calculated from the VT-2005 Sigma Profile Database. Property taken from the CRC Handbook of Chemistry and Physics, 102nd Edition, Table:""PHYSICAL CONSTANTS OF ORGANIC COMPOUNDS"""
5,N-BUTANE,106-97-8,0.0724,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.544588,9.800654,17.897266,23.907751,17.54354,18.258404,19.214298,9.843345,0.333544,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"Sigma profile taken from the VT-2005 Sigma Profile Database; Molar mass calculated from the VT-2005 Sigma Profile Database. Property taken from the CRC Handbook of Chemistry and Physics, 102nd Edition, Table:""PHYSICAL CONSTANTS OF ORGANIC COMPOUNDS"""
6,N-PENTANE,109-66-0,0.041,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.535564,9.995778,21.593447,28.972905,21.779317,21.597412,20.488964,11.906395,0.3846,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"Sigma profile taken from the VT-2005 Sigma Profile Database; Molar mass calculated from the VT-2005 Sigma Profile Database. Property taken from the CRC Handbook of Chemistry and Physics, 102nd Edition, Table:""PHYSICAL CONSTANTS OF ORGANIC COMPOUNDS"""
7,2-METHYL-BUTANE,78-78-4,0.0485,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.702778,12.64689,20.195147,27.514644,17.994015,19.249474,21.074271,13.10489,0.961431,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"Sigma profile taken from the VT-2005 Sigma Profile Database; Molar mass calculated from the VT-2005 Sigma Profile Database. Property taken from the CRC Handbook of Chemistry and Physics, 102nd Edition, Table:""PHYSICAL CONSTANTS OF ORGANIC COMPOUNDS"""
8,"2,2-DIMETHYL-PROPANE",463-82-1,0.0332,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.941707,14.386381,24.135278,24.966042,12.701924,12.995752,18.481007,20.218518,1.423189,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"Sigma profile taken from the VT-2005 Sigma Profile Database; Molar mass calculated from the VT-2005 Sigma Profile Database. Property taken from the CRC Handbook of Chemistry and Physics, 102nd Edition, Table:""PHYSICAL CONSTANTS OF ORGANIC COMPOUNDS"""
9,N-HEXANE,110-54-3,0.0098,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.534265,10.468584,24.746687,34.131197,26.063875,24.865389,22.175454,13.839689,0.36279,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"Sigma profile taken from the VT-2005 Sigma Profile Database; Molar mass calculated from the VT-2005 Sigma Profile Database. Property taken from the CRC Handbook of Chemistry and Physics, 102nd Edition, Table:""PHYSICAL CONSTANTS OF ORGANIC COMPOUNDS"""
10,2-METHYL-PENTANE,107-83-5,0.0137,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.658148,12.952477,23.944564,32.623913,21.977495,22.390992,22.538345,15.028396,1.085801,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"Sigma profile taken from the VT-2005 Sigma Profile Database; Molar mass calculated from the VT-2005 Sigma Profile Database. Property taken from the CRC Handbook of Chemistry and Physics, 102nd Edition, Table:""PHYSICAL CONSTANTS OF ORGANIC COMPOUNDS"""
